date,ticker,open,close,volume,daily_return_pct,market_direction
01-03-2012,ITA,26.456362545313123,26.384008407592773,25600,-0.2735,red
01-04-2012,ITA,26.32442631607257,26.36273193359375,41000,0.1455,green
01-05-2012,ITA,26.16269202287971,26.27760887145996,30000,0.4392,green
01-06-2012,ITA,26.247815414983886,26.324426651000977,16400,0.2919,green
01-09-2012,ITA,26.29888791868132,26.43508529663086,17200,0.5179,green
01-10-2012,ITA,26.715994332333697,26.864959716796875,46600,0.5576,green
01-11-2012,ITA,26.805374915952868,26.945829391479492,10800,0.524,green
01-12-2012,ITA,26.99689726037529,27.13735008239746,10200,0.5203,green
01-13-2012,ITA,26.979876316919142,26.886240005493164,17800,-0.3471,red
01-17-2012,ITA,27.20119168088705,27.107555389404297,36800,-0.3442,red
01-18-2012,ITA,27.02244672382653,27.277814865112305,13200,0.945,green
01-19-2012,ITA,27.392712363253633,27.52890968322754,37600,0.4972,green
01-20-2012,ITA,27.490621984155585,27.465085983276367,23800,-0.0929,red
01-23-2012,ITA,27.448054473599917,27.367189407348633,39400,-0.2946,red
01-24-2012,ITA,27.243760019994593,27.367189407348633,12400,0.4531,green
01-25-2012,ITA,27.333136945852598,27.605531692504883,13000,0.9966,green
01-26-2012,ITA,27.579993564032243,27.405488967895508,11200,-0.6327,red
01-27-2012,ITA,27.358675244247365,27.367189407348633,8000,0.0311,green
01-30-2012,ITA,27.103304988469826,27.184171676635742,17600,0.2984,green
01-31-2012,ITA,27.320370600818695,27.38421058654785,16800,0.2337,green
02-01-2012,ITA,27.537436593645424,27.88218879699707,63400,1.2519,green
02-02-2012,ITA,27.93326506213274,27.797067642211914,108600,-0.4876,red
02-03-2012,ITA,28.11627637827817,28.290781021118164,35400,0.6207,green
02-06-2012,ITA,28.137550761052132,28.112014770507812,17400,-0.0908,red
02-07-2012,ITA,28.090744049651907,28.286527633666992,51600,0.697,green
02-08-2012,ITA,28.316324986477824,28.47806167602539,35000,0.5712,green
02-09-2012,ITA,28.516357542039376,28.520614624023438,30400,0.0149,green
02-10-2012,ITA,28.28652766410371,28.307809829711914,8000,0.0752,green
02-13-2012,ITA,28.397186416103953,28.575944900512695,19400,0.6295,green
02-14-2012,ITA,28.495071447396185,28.516353607177734,13800,0.0747,green
02-15-2012,ITA,28.622747387082143,28.201387405395508,80000,-1.4721,red
02-16-2012,ITA,28.17585985300673,28.36313247680664,17000,0.6647,green
02-17-2012,ITA,28.46528229983699,28.520614624023438,5800,0.1944,green
02-21-2012,ITA,28.5121079404254,28.49508285522461,9000,-0.0597,red
02-22-2012,ITA,28.486564843403187,28.473796844482422,36000,-0.0448,red
02-23-2012,ITA,28.50785476401525,28.47806167602539,49000,-0.1045,red
02-24-2012,ITA,28.516352453086252,28.63552474975586,8600,0.4179,green
02-27-2012,ITA,28.49932422811853,28.558910369873047,15600,0.2091,green
02-28-2012,ITA,28.529120105285347,28.490816116333008,33000,-0.1343,red
02-29-2012,ITA,28.601472910226533,28.431228637695312,65400,-0.5952,red
03-01-2012,ITA,28.507841110229492,28.507841110229492,9600,0.0,green
03-02-2012,ITA,28.49507278146467,28.36313247680664,6800,-0.463,red
03-05-2012,ITA,28.324831149421907,28.269498825073242,6400,-0.1953,red
03-06-2012,ITA,27.954548161170617,27.728971481323242,50800,-0.8069,red
03-07-2012,ITA,27.86942621804181,27.9119873046875,66600,0.1527,green
03-08-2012,ITA,28.107755583913804,28.316307067871094,6000,0.742,green
03-09-2012,ITA,28.35462799673574,28.482311248779297,10000,0.4503,green
03-12-2012,ITA,28.469537734985348,28.46953773498535,22200,0.0,green
03-13-2012,ITA,28.550396994932672,28.869609832763672,18800,1.1181,green
03-14-2012,ITA,28.835574835566714,28.88665008544922,8800,0.1771,green
03-15-2012,ITA,28.835562802008564,28.924942016601562,21200,0.31,green
03-16-2012,ITA,28.96325627387931,28.810033798217773,5000,-0.529,red
03-19-2012,ITA,28.754703291739514,28.82706069946289,22000,0.2516,green
03-20-2012,ITA,28.661048791812107,28.448240280151367,39000,-0.7425,red
03-21-2012,ITA,28.371657326461172,28.47806167602539,3600,0.375,green
03-22-2012,ITA,28.150318461992594,28.33333396911621,122000,0.6501,green
03-23-2012,ITA,28.354620233323658,28.516353607177734,10600,0.5704,green
03-26-2012,ITA,28.73055680081058,29.003652572631836,17200,0.9505,green
03-27-2012,ITA,29.01645879133407,28.84150505065918,13400,-0.6029,red
03-28-2012,ITA,28.832970590553987,28.606813430786133,22800,-0.7844,red
03-29-2012,ITA,28.491601743128548,28.59401512145996,19800,0.3595,green
03-30-2012,ITA,28.683633274917042,28.645227432250977,27800,-0.1339,red
04-02-2012,ITA,28.559879432168305,28.88418197631836,25000,1.1355,green
04-03-2012,ITA,28.888451444188412,28.768972396850586,4600,-0.4136,red
04-04-2012,ITA,28.50441174562182,28.508676528930664,7200,0.015,green
04-05-2012,ITA,28.367860346947598,28.256914138793945,9000,-0.3911,red
04-09-2012,ITA,27.843000479573664,27.808862686157227,21400,-0.1226,red
04-10-2012,ITA,27.761925733919963,27.301076889038086,19600,-1.66,red
04-11-2012,ITA,27.565638726073452,27.668048858642578,27400,0.3715,green
04-12-2012,ITA,27.979552736364354,28.261184692382812,5800,1.0066,green
04-13-2012,ITA,28.184379411572376,27.9326171875,8000,-0.8933,red
04-16-2012,ITA,28.077684571784328,27.975271224975586,35200,-0.3647,red
04-17-2012,ITA,28.137430451853934,28.448928833007812,10200,1.1071,green
04-18-2012,ITA,28.261170703327156,28.273971557617188,26600,0.0453,green
04-19-2012,ITA,28.248371470023578,27.962474822998047,12600,-1.0121,red
04-20-2012,ITA,28.1417024450598,28.26544952392578,13600,0.4397,green
04-23-2012,ITA,27.979555737058714,27.983823776245117,10400,0.0153,green
04-24-2012,ITA,28.03075971329371,28.103300094604492,8200,0.2588,green
04-25-2012,ITA,28.312386738927632,28.33799171447754,17600,0.0904,green
04-26-2012,ITA,28.299584879943126,28.58121681213379,4800,0.9952,green
